date,industry_tone,2020安踏體育_diff,2331李寧_diff,1361３６１度_diff,1368特步國際_diff,2313申洲國際_diff,6110滔搏_diff
2021-11-30,0.002200317,0.000335041,,,,0.005578356,0.000687554
2021-12-01,0.00017134,-0.000228886,-0.001877931,,0.002661761,0.000116286,0.000185474
2021-12-02,0.000211213,-0.000709528,0.001131954,,,,
2021-12-03,0.000628883,-0.000422647,0.001680414,,,,
2021-12-04,0.000229337,-0.000671634,0.003237575,,,,-0.001877931
2021-12-05,0.000793057,0.000185474,-0.000647681,0.001056719,,0.002238822,0.001131954
2021-12-06,0.002727298,-0.000834059,0.003778867,,0.00628397,,0.001680414
2021-12-07,0.004760291,-0.000205741,0.010436785,,,0.005572544,0.003237575
2021-12-08,0.000524832,0.000789829,0.001196466,,,-0.000411799,
2021-12-09,0.00100396,-0.000113678,0.001038019,0.000638692,,0.002452806,
2021-12-10,0.000505792,-0.000462778,,,,0.000990077,0.000990077
2021-12-11,0.000285443,0.000687554,,,,,-0.000116668
2021-12-12,0.009363059,-0.000320513,-0.001442776,,,0.029852465,
2021-12-13,0.000272168,0.000497922,-0.000575019,,-0.00048256,0.001648328,
