date,industry_tone,2020安踏體育_diff,2331李寧_diff,1361３６１度_diff,1368特步國際_diff,2313申洲國際_diff,6110滔搏_diff
30/11/2021,0.000774142,0.000681066,0.000445374,0.000561949,0.00140818,,
1/12/2021,0.000238709,-0.001244383,0.000404353,,0.000944734,,0.000850133
2/12/2021,-0.000110168,-0.003730341,-0.000295526,,-0.000852449,-0.000251508,0.00457898
3/12/2021,7.39E-05,,0.000341859,,0.001961092,,-0.002081347
4/12/2021,0.000860249,0.002596575,0.000461084,,-0.000476914,,
5/12/2021,0.012129134,0.00565122,-0.000174649,,0.001310946,0.041729019,
6/12/2021,0.000807122,-0.001063651,-0.00098939,0.008778475,-0.000251508,,-0.002438316
7/12/2021,0.001800233,0.000643834,-0.001098904,0.004378618,0.00083767,,0.004239946
8/12/2021,0.00181131,0.001316776,0.00160383,,0.002513323,,
9/12/2021,-1.64E-05,0.001381993,0.001475238,,-0.002906345,,
10/12/2021,0.002805097,,0.002335622,,0.003274573,,
11/12/2021,-1.50E-05,,-0.001814114,,0.004282373,-0.002513323,
12/12/2021,0.002629706,0.00394795,.,0.002462474,0.001300035,,0.002808366
13/12/2021,-0.000114881,-9.47E-05,0.001253996,-0.004068007,0.002449228,,
