date,industry_tone,2020安踏體育_diff,2331李寧_diff,1361３６１度_diff,1368特步國際_diff,2313申洲國際_diff,6110滔搏_diff
2021-11-30,-0.003790934,-0.02499196,0.001402534,0.001119469,0.001283417,0.002231871,
2021-12-01,0.003020083,0.002085282,-0.000664648,0.00057489,,0.000528205,0.012576685
2021-12-02,-0.000885611,-0.001053863,0.001324127,,-0.001296319,-0.004533829,0.001131827
2021-12-03,0.001340151,0.002869267,,,,-0.000188966,
2021-12-04,0.000694036,,,,,0.000694036,
2021-12-05,0.008214869,-0.008252472,0.006162121,,-0.00157711,0.002501885,0.042239919
2021-12-06,0.000151413,0.001729786,-0.001706663,,,0.000431116,
2021-12-07,0.002156951,0.004817398,0.001758816,,0.000177755,,0.001873834
2021-12-08,-0.003252937,-0.011410723,,,-0.002279067,,0.003930978
2021-12-09,-0.000784313,-0.007937549,-0.00385696,,0.003868255,0.004789002,
2021-12-10,0.001562472,0.002756084,0.003321257,,-0.003822183,0.003994729,
2021-12-11,0.00199326,,,0.000378609,,0.003607911,
2021-12-12,0.000940473,-0.003998136,,0.00327061,0.001923457,0.002565963,
2021-12-13,0.007605184,0.005778966,0.00147313,,0.005276916,0.00212416,0.023372751
