date,industry_tone,2020安踏體育_diff,2331李寧_diff,1361３６１度_diff,1368特步國際_diff,2313申洲國際_diff,6110滔搏_diff
30/11/2021,0.00637472,0.029427653,0.001918457,,0.001023984,-0.002556389,0.002059893
1/12/2021,-0.003112995,0.001227967,-0.000866909,-1.03E-04,,0.001342937,-0.017166279
2/12/2021,-0.000699843,-0.001062568,-0.001571181,-0.001480678,,-0.000429559,0.001044773
3/12/2021,0.001737209,,,,0.002105187,0.001369231,
4/12/2021,0.000969993,0.001036915,0.003290908,,,-0.001417843,
5/12/2021,0.000873042,-0.000140591,-0.0044237,,,,0.007183417
6/12/2021,0.00308236,0.001594682,0.00115168,,0.00906413,0.000518949,
7/12/2021,0.000349571,,0.001563217,0.001145321,-0.0050881,0.001910944,0.002216474
8/12/2021,0.001243338,0.001893578,,-0.002663321,,0.004499757,
9/12/2021,0.002111706,-0.00202863,0.004841952,,0.002712533,0.003835742,0.001196934
10/12/2021,-0.001634326,-0.004993606,0.001359842,,,,-0.001269213
11/12/2021,0.001406308,0.008499291,,,,-0.004618318,0.000337951
12/12/2021,0.005352707,0.005411932,0.004823158,,0.007763572,0.003412165,
13/12/2021,0.001915327,-0.003290669,-0.000830365,0.001624524,-0.004552689,0.004048729,0.01449243
